"latin_name" "Density" "Biomass" "ID_sampling" "station_name" "dates"
"Abra alba" 297.7777778 15.3 202 "Suederfahrt" "1968-03-15"
"Abra alba" 22.22222222 2.111111111 203 "Suederfahrt" "1968-05-15"
"Abra alba" 75.55555556 7.788888889 204 "Suederfahrt" "1968-08-15"
"Abra alba" 64.44444444 6.077777778 205 "Suederfahrt" "1968-09-15"
"Abra alba" 122.2222222 26.85555556 206 "Suederfahrt" "1968-11-15"
"Abra alba" 93.33333333 17.46666667 207 "Suederfahrt" "1969-01-15"
"Abra alba" 74.44444444 15.86666667 208 "Suederfahrt" "1969-05-15"
"Abra alba" 207.7777778 18.22222222 209 "Suederfahrt" "1969-11-25"
"Abra alba" 24.44444444 0.888888889 210 "Suederfahrt" "1970-03-10"
"Abra alba" 4.444444444 0.577777778 211 "Suederfahrt" "1970-07-03"
"Abra alba" 12.22222222 0.5 212 "Suederfahrt" "1970-11-09"
"Abra alba" 15.55555556 0.711111111 213 "Suederfahrt" "1971-01-07"
"Abra alba" 8.888888889 0.244444444 124 "Suederfahrt" "1971-03-15"
"Abra alba" 16.66666667 0.911111111 6 "Suederfahrt" "1971-05-04"
"Abra alba" 14.44444444 0.9 214 "Suederfahrt" "1971-07-06"
"Abra alba" 65.55555556 1.177777778 215 "Suederfahrt" "1971-09-06"
"Abra alba" 61.11111111 2.533333333 216 "Suederfahrt" "1971-11-05"
"Abra alba" 0 0 217 "Suederfahrt" "1972-01-25"
"Abra alba" 86.66666667 5.022222222 218 "Suederfahrt" "1972-03-10"
"Abra alba" 134.4444444 9.744444444 219 "Suederfahrt" "1975-04-17"
"Abra alba" 63.33333333 4.566666667 220 "Suederfahrt" "1975-07-02"
"Abra alba" 418.8888889 19.75555556 221 "Suederfahrt" "1975-09-17"
"Abra alba" 340 37.58888889 222 "Suederfahrt" "1975-12-15"
"Abra alba" 304.4444444 42.66666667 223 "Suederfahrt" "1976-02-18"
"Abra alba" 121.1111111 26.2 224 "Suederfahrt" "1976-04-30"
"Abra alba" 88.88888889 16.2 225 "Suederfahrt" "1976-06-24"
"Abra alba" 967.7777778 22.2 226 "Suederfahrt" "1976-08-18"
"Abra alba" 422.2222222 17.04444444 227 "Suederfahrt" "1976-10-21"
"Abra alba" 880 31.85555556 228 "Suederfahrt" "1976-12-15"
